user_in_transactions,user_with_barcode_in_products,brand,barcode
61ca1f591a3acd27c1b18f0b,61ca1f591a3acd27c1b18f0b,TOSTITOS,28400517942
61ca1f591a3acd27c1b18f0b,61ca1f591a3acd27c1b18f0b,TOSTITOS,28400517942
61ca1f591a3acd27c1b18f0b,61ca1f591a3acd27c1b18f0b,TOSTITOS,28400517942
61ca1f591a3acd27c1b18f0b,61ca1f591a3acd27c1b18f0b,TOSTITOS,28400517942
649dbeab127ddb5d7f0195d2,649dbeab127ddb5d7f0195d2,SUAVE,79400480224
649dbeab127ddb5d7f0195d2,649dbeab127ddb5d7f0195d2,SUAVE,79400480224
649dbeab127ddb5d7f0195d2,649dbeab127ddb5d7f0195d2,SUAVE,79400480224
649dbeab127ddb5d7f0195d2,649dbeab127ddb5d7f0195d2,SUAVE,79400480224
64e29bd89af7bd9ef5a8aafc,64e29bd89af7bd9ef5a8aafc,MILK DUDS,10700021526
64e29bd89af7bd9ef5a8aafc,64e29bd89af7bd9ef5a8aafc,MILK DUDS,10700021526
64e29bd89af7bd9ef5a8aafc,64e29bd89af7bd9ef5a8aafc,MILK DUDS,10700021526
64e29bd89af7bd9ef5a8aafc,64e29bd89af7bd9ef5a8aafc,MILK DUDS,10700021526
606df2882b317d709de67809,606df2882b317d709de67809,SNICKERS,40000424314
606df2882b317d709de67809,606df2882b317d709de67809,SNICKERS,40000424314
606df2882b317d709de67809,606df2882b317d709de67809,SNICKERS,40000424314
606df2882b317d709de67809,606df2882b317d709de67809,SNICKERS,40000424314
5fd4fb485f410d44bae3a776,5fd4fb485f410d44bae3a776,TRESEMMÉ,22400643366
5fd4fb485f410d44bae3a776,5fd4fb485f410d44bae3a776,TRESEMMÉ,22400643366
5fd4fb485f410d44bae3a776,5fd4fb485f410d44bae3a776,TRESEMMÉ,22400643366
5fd4fb485f410d44bae3a776,5fd4fb485f410d44bae3a776,TRESEMMÉ,22400643366
5c366bf06d9819129dfa1118,5c366bf06d9819129dfa1118,HIDDEN VALLEY,71100004434
5c366bf06d9819129dfa1118,5c366bf06d9819129dfa1118,HIDDEN VALLEY,71100004434
5c366bf06d9819129dfa1118,5c366bf06d9819129dfa1118,HIDDEN VALLEY,71100004434
5c366bf06d9819129dfa1118,5c366bf06d9819129dfa1118,HIDDEN VALLEY,71100004434
633cec0bf06c58bd1fdc9d04,633cec0bf06c58bd1fdc9d04,SOUR PATCH KIDS,704620066056
633cec0bf06c58bd1fdc9d04,633cec0bf06c58bd1fdc9d04,SOUR PATCH KIDS,704620066056
633cec0bf06c58bd1fdc9d04,633cec0bf06c58bd1fdc9d04,SOUR PATCH KIDS,704620066056
633cec0bf06c58bd1fdc9d04,633cec0bf06c58bd1fdc9d04,SOUR PATCH KIDS,704620066056
6661ed1e7c0469953bfc76c4,6661ed1e7c0469953bfc76c4,QUAKER,30000566237
6661ed1e7c0469953bfc76c4,6661ed1e7c0469953bfc76c4,QUAKER,30000566237
6661ed1e7c0469953bfc76c4,6661ed1e7c0469953bfc76c4,QUAKER,30000566237
6661ed1e7c0469953bfc76c4,6661ed1e7c0469953bfc76c4,QUAKER,30000566237
646bdaa67a342372c857b958,646bdaa67a342372c857b958,DOVE,11111016408
646bdaa67a342372c857b958,646bdaa67a342372c857b958,DOVE,11111016408
646bdaa67a342372c857b958,646bdaa67a342372c857b958,DOVE,11111016408
646bdaa67a342372c857b958,646bdaa67a342372c857b958,DOVE,11111016408
5fe8b12183fcfc1262fa545a,5fe8b12183fcfc1262fa545a,COCA-COLA,311111224057
5fe8b12183fcfc1262fa545a,5fe8b12183fcfc1262fa545a,COCA-COLA,311111224057
5fe8b12183fcfc1262fa545a,5fe8b12183fcfc1262fa545a,COCA-COLA,311111224057
5fe8b12183fcfc1262fa545a,5fe8b12183fcfc1262fa545a,COCA-COLA,311111224057
6668f2257c0469953bfd6e45,6668f2257c0469953bfd6e45,SARGENTO,46100001646
6668f2257c0469953bfd6e45,6668f2257c0469953bfd6e45,SARGENTO,46100001646
6668f2257c0469953bfd6e45,6668f2257c0469953bfd6e45,SARGENTO,46100001646
6668f2257c0469953bfd6e45,6668f2257c0469953bfd6e45,SARGENTO,46100001646
60fc58c6d7a7355d5afb7c84,60fc58c6d7a7355d5afb7c84,SPEED STICK,22200004909
60fc58c6d7a7355d5afb7c84,60fc58c6d7a7355d5afb7c84,SPEED STICK,22200004909
60fc58c6d7a7355d5afb7c84,60fc58c6d7a7355d5afb7c84,SPEED STICK,22200004909
60fc58c6d7a7355d5afb7c84,60fc58c6d7a7355d5afb7c84,SPEED STICK,22200004909
5ca54049adfcb4140b54e1bf,5ca54049adfcb4140b54e1bf,CHEERIOS,311111128836
5ca54049adfcb4140b54e1bf,5ca54049adfcb4140b54e1bf,CHEERIOS,311111128836
5ca54049adfcb4140b54e1bf,5ca54049adfcb4140b54e1bf,CHEERIOS,311111128836
5ca54049adfcb4140b54e1bf,5ca54049adfcb4140b54e1bf,CHEERIOS,311111128836
5db603f8b68dbf3bc96f3c73,5db603f8b68dbf3bc96f3c73,L'OREAL PARIS HAIR CARE,71249278581
5db603f8b68dbf3bc96f3c73,5db603f8b68dbf3bc96f3c73,L'OREAL PARIS HAIR CARE,71249278581
5db603f8b68dbf3bc96f3c73,5db603f8b68dbf3bc96f3c73,L'OREAL PARIS HAIR CARE,71249278581
5db603f8b68dbf3bc96f3c73,5db603f8b68dbf3bc96f3c73,L'OREAL PARIS HAIR CARE,71249278581
